index,Unnamed: 0,Date,User,Tweet,Cleaned_Tweet,Language,Sentiment,radio,blog,festival
52,52,2022-09-03 05:07:00+00:00,UmbriaJazz_OFC,"𝗥𝗼𝗮𝗱 𝘁𝗼 #𝘂𝗷𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝟮𝟮 ☀️
16.09📍 Anfiteatro Romano
@mariobiondi ""Romantic Tour""

Tickets 🚩  https://t.co/HKrkJLJfVl https://t.co/0fwTvZJEAo",    1609 Anfiteatro Romano mariobiondi Romantic Tour Tickets  httpstcoHKrkJLJfVl httpstco0fwTvZJEAo,English,Positive,-,-,-
53,53,2022-09-02 15:09:30+00:00,UExcellencies,"My name is Alison and I am a jazz singer.
Thanks to Umbria Excellencies it will be a pleasure for me to let you discover the beauties of Umbria, a land rich in villages and extraordinary places.
.
.
#umbria #umbriaexcellencies #umbriajazz  #umbriatourism #italy #model https://t.co/S9lx39dNy9",My name Alison I jazz singer Thanks Umbria Excellencies pleasure let discover beauties Umbria land rich villages extraordinary places   umbria umbriaexcellencies umbriajazz umbriatourism italy model httpstcoS9lx39dNy9,English,Positive,-,-,-
54,54,2022-09-02 04:47:00+00:00,UmbriaJazz_OFC,"𝗥𝗼𝗮𝗱 𝘁𝗼 #𝘂𝗷𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝟮𝟮 ☀️
15.09📍 Anfiteatro Romano
@jpbimeni_mudibu &amp; The Black Belts

Tickets 🚩 https://t.co/Awl4FkpKdj https://t.co/TSpc8SEQwv",    1509 Anfiteatro Romano jpbimenimudibu amp The Black Belts Tickets  httpstcoAwl4FkpKdj httpstcoTSpc8SEQwv,English,Neutral,-,-,-
60,60,2022-08-23 13:52:00+00:00,colinbossen,Following my time in #Mancheter I went to #Perugia to enjoy @UmbriaJazz_OFC and visit an old friend @Harvard 's #AmericanStudies program who directs the @umbrapg https://t.co/VcE6XeDF4B #Italy #Jazz #TubaSkinny #NewOrleansJazz #Food #Travel,Following time Mancheter I went Perugia enjoy UmbriaJazzOFC visit old friend Harvard s AmericanStudies program directs umbrapg httpstcoVcE6XeDF4B Italy Jazz TubaSkinny NewOrleansJazz Food Travel,English,Positive,-,-,-
62,62,2022-08-18 09:22:57+00:00,MarcoBianchiVib,https://t.co/Sxppof2v4J #Music #NoWords NEW ALBUM !!! ⁦@UmbriaJazz_OFC⁩ ⁦@Jazzit_mag⁩,httpstcoSxppof2v4J Music NoWords NEW ALBUM  UmbriaJazzOFC Jazzitmag,English,Neutral,-,-,-
63,63,2022-08-17 20:13:33+00:00,lorenzolutri97,"One month ago 🔙📅
Jeff Beck feat. Johnny Depp on stage (Perugia, Umbria Jazz 17/07/2022)

#UmbriaJazz #JeffBeck #JohnnyDepp #photography #concert #music #stage #lights #power #moment #memories #highlights https://t.co/6O032o9yPI",One month ago  Jeff Beck feat Johnny Depp stage Perugia Umbria Jazz 17072022 UmbriaJazz JeffBeck JohnnyDepp photography concert music stage lights power moment memories highlights httpstco6O032o9yPI,English,Neutral,-,-,-
68,68,2022-08-15 12:33:56+00:00,UmbriaJazz_OFC,"Umbria Jazz Weekend ☀️
#onemonthtogo 

🚩Tickets • https://t.co/up1KtuUnIf https://t.co/WA0mgYsevT",Umbria Jazz Weekend  onemonthtogo Tickets  httpstcoup1KtuUnIf httpstcoWA0mgYsevT,English,Neutral,-,-,-
71,71,2022-08-13 15:01:09+00:00,Rufus_in_F4bula,@PatMetheny happy birthday maestro! Hope to you soon @UmbriaJazz_OFC,PatMetheny happy birthday maestro Hope soon UmbriaJazzOFC,English,Positive,-,-,-
74,74,2022-08-06 15:09:07+00:00,aiiaco,"Keep Calm and Carry On

#perugia #uj2022 #umbriajazz #july2022 #lifeinthestreet
https://t.co/sfCuUb5jhm",Keep Calm Carry On perugia uj2022 umbriajazz july2022 lifeinthestreet httpstcosfCuUb5jhm,English,Positive,-,-,-
77,77,2022-08-03 07:37:38+00:00,alowebtv,⁦@ArteModernaBiz⁩ ⁦@UmbriaJazz_OFC⁩ #artemoderna #alowebtv #alowebtvsmarttv  https://t.co/5JUoOurElG,ArteModernaBiz UmbriaJazzOFC artemoderna alowebtv alowebtvsmarttv httpstco5JUoOurElG,English,Neutral,-,-,-
79,79,2022-07-29 18:09:15+00:00,PitchBiteMusic,"#Jazzwise ""RT @UmbriaJazz_OFC: ""If you have never visited #Perugia for #UmbriaJazz – then next year would be an excellent time to start!""

@TimDickeson @Jazzwise 🙏

https://t.co/Jvf152MDRx""",Jazzwise RT UmbriaJazzOFC If never visited Perugia UmbriaJazz  next year would excellent time start TimDickeson Jazzwise  httpstcoJvf152MDRx,English,Positive,-,-,-
80,80,2022-07-29 17:15:37+00:00,italianreflect1,"On your way to #Perugia? See how to get to this #Umbria #hilltown and then how to ascend to the #CentroStorico here:

https://t.co/uok3JWuRdB

@Umbria24 @UmbriaJazz_OFC @Perugia https://t.co/6kDMJlOouW",On way Perugia See get Umbria hilltown ascend CentroStorico here httpstcouok3JWuRdB Umbria24 UmbriaJazzOFC Perugia httpstco6kDMJlOouW,English,Neutral,-,-,-
81,81,2022-07-29 12:11:08+00:00,UmbriaJazz_OFC,"""If you have never visited #Perugia for #UmbriaJazz – then next year would be an excellent time to start!""

@TimDickeson @Jazzwise 🙏

https://t.co/eqv04x7hJx",If never visited Perugia UmbriaJazz  next year would excellent time start TimDickeson Jazzwise  httpstcoeqv04x7hJx,English,Positive,-,-,-
85,85,2022-07-25 21:07:45+00:00,Nonsolosuoni,"📣 Nuovo Podcast! ""Jeff Beck: evento sold out, il 17 luglio all'Umbria Jazz, insieme a Johnny Depp e la loro band. Ricordiamo la storia del grande chitarrista."" su @Spreaker #jeffbeck #umbriajazz https://t.co/kol5pFUpon", Nuovo Podcast Jeff Beck evento sold out 17 luglio allUmbria Jazz insieme Johnny Depp band Ricordiamo storia grande chitarrista Spreaker jeffbeck umbriajazz httpstcokol5pFUpon,English,Neutral,-,-,-
90,90,2022-07-20 11:54:17+00:00,ChantalCyr,Love his smile so much. 🎵 go little rockstar 🎵 #JohnnyDepp #JohnnyDeppKeepsWinning @UmbriaJazz_OFC https://t.co/tqysE0EOsm,Love smile much  go little rockstar  JohnnyDepp JohnnyDeppKeepsWinning UmbriaJazzOFC httpstcotqysE0EOsm,English,Positive,-,-,-
92,92,2022-07-20 10:01:15+00:00,modiamo,"https://t.co/Cw61VijDTF

La tournée italiana di #JohnnyDepp #umbriajazz https://t.co/xKt0iNY7Jq",httpstcoCw61VijDTF La tourne italiana di JohnnyDepp umbriajazz httpstcoxKt0iNY7Jq,English,Neutral,-,-,-
102,102,2022-07-18 22:25:01+00:00,cantgoback69,"@KRN_RGH @UmbriaJazz_OFC Love the ""Jack Sparrow"" eye makeup.",KRNRGH UmbriaJazzOFC Love Jack Sparrow eye makeup,English,Positive,-,-,-
104,104,2022-07-18 20:11:25+00:00,harombone,"Thank you @UmbriaJazz_OFC, hopefully see you again next year!! ❤️ https://t.co/0RajPDlhlQ",Thank UmbriaJazzOFC hopefully see next year  httpstco0RajPDlhlQ,English,Positive,-,-,-
105,105,2022-07-18 18:31:09+00:00,cerra_tiziana,"“Perché c’è ancora qualcuno che ti apprezza per come sei e non per come devi essere.”
Johnny Depp 

Un immenso Johnny Depp ieri sera all’Umbria Jazz, Credit video Reneee.Joelle Instagram 

#JohnnyDepp #umbriajazz #johnny #jacksparrow #italy https://t.co/eVSNlHJfQQ",Perch c ancora qualcuno apprezza devi essere Johnny Depp Un immenso Johnny Depp ieri sera allUmbria Jazz Credit video ReneeeJoelle Instagram JohnnyDepp umbriajazz johnny jacksparrow italy httpstcoeVSNlHJfQQ,English,Positive,-,-,-
108,108,2022-07-18 15:31:33+00:00,martinabcecchi,"Sneaker pick of last night in Perugia 😍
#jeffbeck #JohnnyDepp #umbriajazz https://t.co/mnRhMfYipP",Sneaker pick last night Perugia  jeffbeck JohnnyDepp umbriajazz httpstcomnRhMfYipP,English,Neutral,-,-,-
110,110,2022-07-18 14:25:30+00:00,CorriereUmbria,"Johnny Depp a Perugia, le foto del concerto a Umbria Jazz con Jeff Beck #Perugia #UmbriaJazz #Uj2022 #JohnnyDepp #JeffBeck  https://t.co/PN7WqsYSt3 https://t.co/QYvLCnNQkF",Johnny Depp Perugia le foto del concerto Umbria Jazz con Jeff Beck Perugia UmbriaJazz Uj2022 JohnnyDepp JeffBeck httpstcoPN7WqsYSt3 httpstcoQYvLCnNQkF,English,Neutral,-,-,-
112,112,2022-07-18 11:43:19+00:00,ReemDepp,"Via sina_hotels_magazine “Welcome back #JohnnyDepp to #sinahotels !After the honour of welcoming you at the sinacenturionpalace in Venice, we were thrilled to have you and Jeff Beck in Perugia at the Sina Brufani hotel. Incredible gig last night at #umbriajazz.” https://t.co/S0JVLaSxSn",Via sinahotelsmagazine Welcome back JohnnyDepp sinahotels After honour welcoming sinacenturionpalace Venice thrilled Jeff Beck Perugia Sina Brufani hotel Incredible gig last night umbriajazz httpstcoS0JVLaSxSn,English,Positive,-,-,-
113,113,2022-07-18 11:13:17+00:00,lorenzolutri97,"MAESTRO
""Cause we've ended as lovers"" - Jeff Beck live at @UmbriaJazz_OFC ( 
Arena Santa Giuliana, Perugia, Italy🇮🇹) Jul 17, 2022

#jeffbeck #music #rock #blues #rockblues #concert #liveconcert #guitarist #guitarplayer #guitarhero #fender #stratocaster #umbriajazz https://t.co/3HKYhIeWaA",MAESTRO Cause weve ended lovers  Jeff Beck live UmbriaJazzOFC  Arena Santa Giuliana Perugia Italy Jul 17 2022 jeffbeck music rock blues rockblues concert liveconcert guitarist guitarplayer guitarhero fender stratocaster umbriajazz httpstco3HKYhIeWaA,English,Positive,-,-,-
114,114,2022-07-18 10:17:37+00:00,martinabcecchi,"#JohnnyDepp #umbriajazz My heart is still full of emotions 😍

Thanks to my amazing husband for this unbelively terrific bday gift @LuisMC_88 

The show was so powerful and both Jeff and Johnny were terrific!!! 🥰 https://t.co/DsRFSjlsPc",JohnnyDepp umbriajazz My heart still full emotions  Thanks amazing husband unbelively terrific bday gift LuisMC88 The show powerful Jeff Johnny terrific  httpstcoDsRFSjlsPc,English,Positive,-,-,-
115,115,2022-07-18 10:17:09+00:00,Lori93025955,@vaersac I was here. He has been greeting all his relatives from the TourBus' window. He was really great.  @vaersac @johnnydepp #JohnnyDeppNFT @jeffbeckmusic #umbriajazz #perugiasantagiuliana,vaersac I here He greeting relatives TourBus window He really great vaersac johnnydepp JohnnyDeppNFT jeffbeckmusic umbriajazz perugiasantagiuliana,English,Positive,-,-,-
116,116,2022-07-18 10:15:41+00:00,Lori93025955,"Yesterday, my end @JohnnyDeppNFT @UmbriaJazz_OFC @jeffbeckmusic https://t.co/s1P29Leqy1",Yesterday end JohnnyDeppNFT UmbriaJazzOFC jeffbeckmusic httpstcos1P29Leqy1,English,Neutral,-,-,-
134,134,2022-07-17 23:36:02+00:00,martinabcecchi,"I still can't belive it 😍
What a show!! Amazing moments and memories 🥰

#johnnydepp #jeffbeck #umbriajazz
https://t.co/hbqabO7gpt",I still cant belive  What show Amazing moments memories  johnnydepp jeffbeck umbriajazz httpstcohbqabO7gpt,English,Positive,-,-,-
135,135,2022-07-17 23:30:17+00:00,IceQueen2102,#JeffBeck and #JohnnyDepp at #UmbriaJazz this evening! https://t.co/G3JmY9PBHs,JeffBeck JohnnyDepp UmbriaJazz evening httpstcoG3JmY9PBHs,English,Neutral,-,-,-
136,136,2022-07-17 23:26:37+00:00,IceQueen2102,#JeffBeck and #JohnnyDepp this evening at @UmbriaJazz_OFC https://t.co/aUi3LzoAZv,JeffBeck JohnnyDepp evening UmbriaJazzOFC httpstcoaUi3LzoAZv,English,Neutral,-,-,-
137,137,2022-07-17 23:23:11+00:00,CamillaBiondini,#johnnydepp #umbriajazz #Perugia Johnny Depp che canta! Stasera live! #JeffBeck https://t.co/o2WE8nzd9u,johnnydepp umbriajazz Perugia Johnny Depp che canta Stasera live JeffBeck httpstcoo2WE8nzd9u,English,Neutral,-,-,-
138,138,2022-07-17 22:56:37+00:00,giullilli,"Johnny che canta e suona Little Wing con Jeff Beck , 🅰️🅾️🤌🏻 ecco che moro male ⚰️ #umbriajazz #johnnydepp https://t.co/IfTkLfWo65",Johnny canta suona Little Wing Jeff Beck   ecco moro male  umbriajazz johnnydepp httpstcoIfTkLfWo65,English,Neutral,-,-,-
139,139,2022-07-17 22:49:58+00:00,_SoulTo_Squeeze,"I'm just a little bit horny. 😍
#umbriajazz
#johnnydepp
#JohnnyDeppWon 
#JohnnyDeppKeepsWinning 
#JohnnyDeppGotJustice 
#JohnnyDeppWonAgain
#DeppVsHeard https://t.co/p5ONNEy851",Im little bit horny  umbriajazz johnnydepp JohnnyDeppWon JohnnyDeppKeepsWinning JohnnyDeppGotJustice JohnnyDeppWonAgain DeppVsHeard httpstcop5ONNEy851,English,Neutral,-,-,-
141,141,2022-07-17 21:41:00+00:00,JerrieDepp,"New photo of #JohnnyDepp) &amp; @jeffbeckofficial at Umbria Jazz - Arena Santa Giuliana, Piazza Partigiani, Perugia, Italy ☺️❤️ (Credits To @UmbriaJazz_OFC) https://t.co/Cnw18tXviI",New photo JohnnyDepp amp jeffbeckofficial Umbria Jazz  Arena Santa Giuliana Piazza Partigiani Perugia Italy  Credits To UmbriaJazzOFC httpstcoCnw18tXviI,English,Positive,-,-,-
146,146,2022-07-17 21:23:08+00:00,babvis,“The death and resurrection show” #johnnydepp @UmbriaJazz_OFC https://t.co/xxJ0VFMQB6,The death resurrection show johnnydepp UmbriaJazzOFC httpstcoxxJ0VFMQB6,English,Negative,-,-,-
150,150,2022-07-17 16:38:23+00:00,_SoulTo_Squeeze,"Waiting for johnny ♥️♥️♥️
#umbriajazz
#johnnydepp
#JohnnyDeppWon 
#JohnnyDeppKeepsWinning 
#JohnnyDeppGotJustice 
#JohnnyDeppWonAgain https://t.co/amHkfQuTPB",Waiting johnny  umbriajazz johnnydepp JohnnyDeppWon JohnnyDeppKeepsWinning JohnnyDeppGotJustice JohnnyDeppWonAgain httpstcoamHkfQuTPB,English,Neutral,-,-,-
151,151,2022-07-17 15:00:00+00:00,ClareJosa,"@DefWomenNetwork Looks deliciously cool!

Managed to persuade Stansted to let me bring mine to Italy last week. I’m this heat, it’s already saved 20+ plastic bottles :-)

But was disappointed that police @ #UmbriaJazz were confiscating them @ concerts, b/c metal is dangerous &amp; plastic is safe??? https://t.co/hegHOfx3hz",DefWomenNetwork Looks deliciously cool Managed persuade Stansted let bring mine Italy last week Im heat its already saved 20 plastic bottles  But disappointed police  UmbriaJazz confiscating  concerts bc metal dangerous amp plastic safe httpstcohegHOfx3hz,English,Negative,-,-,-
163,163,2022-07-17 10:18:24+00:00,Paoloexe,"Buongiorno from last night
#umbriajazz 
Anthony Paule Soul Orchestra feat. Terrie Odabi https://t.co/C1uz4DyX2J",Buongiorno last night umbriajazz Anthony Paule Soul Orchestra feat Terrie Odabi httpstcoC1uz4DyX2J,English,Neutral,-,-,-
167,167,2022-07-17 07:54:28+00:00,GioMosty,Street band FunkOff - UmbeisJazz #funkoff #umbriajazz #umbria #perugia #streetphotography #streeband #music #musica #friends #giorgiomostarda #giorgiomostardaphotography #appuntidivista #photographer #hasselblad https://t.co/7aZrxdwolr,Street band FunkOff  UmbeisJazz funkoff umbriajazz umbria perugia streetphotography streeband music musica friends giorgiomostarda giorgiomostardaphotography appuntidivista photographer hasselblad httpstco7aZrxdwolr,English,Positive,-,-,-
168,168,2022-07-17 05:05:00+00:00,UmbriaJazz_OFC,"Day 10 🎡 #umbriajazz22

🚩 https://t.co/Rq4rKRdTAH https://t.co/4yITVSfB1Z","Day 10  umbriajazz22

 httpstcoRq4rKRdTAH httpstco4yITVSfB1Z",English,Neutral,-,-,-
170,170,2022-07-16 22:32:22+00:00,ClareJosa,Oh. My. God. What. A. Voice. Spent the evening dancing to the #legend that is @realsirtomjones at #UmbriaJazz https://t.co/6WTkbwKMT4,Oh My God What A Voice Spent evening dancing legend realsirtomjones UmbriaJazz httpstco6WTkbwKMT4,English,Positive,-,-,-
176,176,2022-07-16 19:24:13+00:00,Sofia_Palaeo,Waiting for @SirTomJonesOff3 @UmbriaJazz_OFC https://t.co/W1yHLZsSD8,Waiting SirTomJonesOff3 UmbriaJazzOFC httpstcoW1yHLZsSD8,English,Neutral,-,-,-
178,178,2022-07-16 18:52:00+00:00,ClareJosa,"Guess who is going to be on stage very, very soon?!

My mum saw him in concert 50 years ago &amp; threw her knickers at him. (Done thing back then). History will NOT be repeating itself tonight. 

But we’re all excited - even the teens! #UmbriaJazz https://t.co/YeYS73Xnzb",Guess going stage very soon My mum saw concert 50 years ago amp threw knickers him Done thing back then History NOT repeating tonight But were excited  even teens UmbriaJazz httpstcoYeYS73Xnzb,English,Positive,-,-,-
179,179,2022-07-16 18:48:29+00:00,fliss59,Pretty good seats for Tom Jones in Perugia #UmbriaJazz https://t.co/mK1cz71Yom,Pretty good seats Tom Jones Perugia UmbriaJazz httpstcomK1cz71Yom,English,Positive,-,-,-
181,181,2022-07-16 16:33:57+00:00,VanyshSunsplash,"Finally #tomjones #umbriajazz #lovemusic💚 @ Perugia, Italy https://t.co/ezrZRrZpvH",Finally tomjones umbriajazz lovemusic  Perugia Italy httpstcoezrZRrZpvH,English,Neutral,-,-,-
185,185,2022-07-16 12:18:19+00:00,martinabcecchi,Perugia we are coming 😍 On our way to  #umbriajazz #JohnnyDepp #JeffBeck https://t.co/T5XTiQtAtb,Perugia coming  On way umbriajazz JohnnyDepp JeffBeck httpstcoT5XTiQtAtb,English,Neutral,-,-,-
186,186,2022-07-16 10:39:48+00:00,ClareJosa,"Loving #UmbriaJazz and #Perugia is one of my favourite places on the planet. Stay cool if you’ve got a heatwave - slow, shade and siesta are our BFFs here.",Loving UmbriaJazz Perugia one favourite places planet Stay cool youve got heatwave  slow shade siesta BFFs here,English,Positive,-,-,-
190,190,2022-07-16 08:09:57+00:00,jasoncamelio,Hanging w/ the heavies @giorgioalbanese &amp; Dave Limina backstage at @UmbriaJazz_OFC . Both are world class artists and educators who are @BerkleeCollege . Changing musical lives in #perugia #italy https://t.co/uXySh0F5qH,Hanging w heavies giorgioalbanese amp Dave Limina backstage UmbriaJazzOFC  Both world class artists educators BerkleeCollege  Changing musical lives perugia italy httpstcouXySh0F5qH,English,Neutral,-,-,-
194,194,2022-07-16 08:00:08+00:00,jasoncamelio,"@davielimina &amp; his @BerkleeAlumni assistant Giulia Malaspina led a fantastic band @ the @BerkleeCollege at @UmbriaJazz_OFC Clinics this week. We played an arr. I made of Charles Mingus's ""Fables of Faubus"" w/ Dave's original music &amp; more at the Carducci stage. #berklee  #Jazz https://t.co/WFZdrhLXrF",davielimina amp BerkleeAlumni assistant Giulia Malaspina led fantastic band  BerkleeCollege UmbriaJazzOFC Clinics week We played arr I made Charles Minguss Fables Faubus w Daves original music amp Carducci stage berklee Jazz httpstcoWFZdrhLXrF,English,Positive,-,-,-
196,196,2022-07-16 07:26:39+00:00,cirkoguerrini,Leaving #umbriajazz with an injection of Funk made in Vicchio. #funkoff https://t.co/tFmi2DiLED,Leaving umbriajazz injection Funk made Vicchio funkoff httpstcotFmi2DiLED,English,Neutral,-,-,-
197,197,2022-07-16 05:47:00+00:00,UmbriaJazz_OFC,"Day 9 🎡 #umbriajazz22

🚩 https://t.co/Rq4rKQWiJ9 https://t.co/zqAntaDBNe","Day 9  umbriajazz22

 httpstcoRq4rKQWiJ9 httpstcozqAntaDBNe",English,Neutral,-,-,-
198,198,2022-07-15 22:27:55+00:00,artied,#Perugia #UmbriaJazz Summer'22 ...normal service has resumed....😂❤️🖖 https://t.co/YCNe82PZre,Perugia UmbriaJazz Summer22 normal service has resumed httpstcoYCNe82PZre,English,Neutral,-,-,-
209,209,2022-07-15 09:46:41+00:00,UmbriaJazz_OFC,"Day 8 🎡 #umbriajazz22

🚩 https://t.co/Rq4rKRdTAH https://t.co/0kxuDrZwzN","Day 8  umbriajazz22

 httpstcoRq4rKRdTAH httpstco0kxuDrZwzN",English,Neutral,-,-,-
214,214,2022-07-14 20:32:41+00:00,MajaGaspari,"Bala sem se, da tole ne bo zame. Boy, was I wrong! 

@herbiehancock @UmbriaJazz_OFC #umbriajazz https://t.co/ff5N22457b",Bala sem se da tole ne bo zame Boy I wrong herbiehancock UmbriaJazzOFC umbriajazz httpstcoff5N22457b,English,Negative,-,-,-
220,220,2022-07-14 16:10:17+00:00,CharlesLloydSax,Long time no see! Happy to be back @UmbriaJazz_OFC and to see Carlo Pagnotta again! Beautiful feeling in Teatro Morlachi with my compadres @BillFrisell @kendrickscott and #reubenrogers https://t.co/p291UuYRud,Long time see Happy back UmbriaJazzOFC see Carlo Pagnotta again Beautiful feeling Teatro Morlachi compadres BillFrisell kendrickscott reubenrogers httpstcop291UuYRud,English,Positive,-,-,-
224,224,2022-07-14 13:39:36+00:00,mtg_malone,"#ThrowbackThursday to the time i did gospel in front of...a lot of people ^^ 
@BerkleeCollege summerschool during @UmbriaJazz_OFC will always be one of the highlights of my life! https://t.co/iEVoZUPEXO",ThrowbackThursday time gospel front ofa lot people  BerkleeCollege summerschool UmbriaJazzOFC always one highlights life httpstcoiEVoZUPEXO,English,Neutral,-,-,-
225,225,2022-07-14 12:50:21+00:00,UmbriaJazz_OFC,"Day 7 🎡 #umbriajazz22

🚩 https://t.co/Rq4rKRdTAH https://t.co/EQHBcqxKQk","Day 7  umbriajazz22

 httpstcoRq4rKRdTAH httpstcoEQHBcqxKQk",English,Neutral,-,-,-
227,227,2022-07-14 07:24:39+00:00,UniCredit_WM,"#OurCommunities #OurClients UniCredit ieri, 12/7 è stato sponsor esclusivo del concerto di Dee Dee Bridgewater &amp; The Memphis Soulphony all’interno di Umbria Jazz 22. Siamo felici di aver ospitato i nostri clienti in questa occasione. 

@UmbriaJazz_OFC @UniCredit_PR @UniCredit_IT https://t.co/FLbgb0AOwM",OurCommunities OurClients UniCredit ieri 127 stato sponsor esclusivo concerto Dee Dee Bridgewater amp The Memphis Soulphony allinterno Umbria Jazz 22 Siamo felici aver ospitato clienti occasione UmbriaJazzOFC UniCreditPR UniCreditIT httpstcoFLbgb0AOwM,English,Neutral,-,-,-
232,232,2022-07-13 19:54:19+00:00,Pier5ba,@rmc_official @UmbriaJazz_OFC https://t.co/jZGAbf9Dc5,rmcofficial UmbriaJazzOFC httpstcojZGAbf9Dc5,English,Neutral,-,-,-
233,233,2022-07-13 16:22:22+00:00,cometcoming,When it’s so hot you gotta soundcheck behind a sun shield.. #umbriajazz we are hyped to play tonight!! https://t.co/5QGcRtrqv0,When its hot gotta soundcheck behind sun shield umbriajazz hyped play tonight httpstco5QGcRtrqv0,English,Positive,-,-,-
234,234,2022-07-13 15:31:34+00:00,ASCatOSU,@OhioStateMusic @huntertonesband @UmbriaJazz_OFC @TBDBITL More about their performance in Italy here! https://t.co/iANuVAPJqr,OhioStateMusic huntertonesband UmbriaJazzOFC TBDBITL More performance Italy here httpstcoiANuVAPJqr,English,Neutral,-,-,-
235,235,2022-07-13 15:31:01+00:00,ASCatOSU,"Made up of multiple @OhioStateMusic alumni @huntertonesband is playing all week at @UmbriaJazz_OFC in Italy! Their connection to campus runs deep, including a 2019 joint performance with @TBDBITL! https://t.co/1CKN3Y3uyE",Made multiple OhioStateMusic alumni huntertonesband playing week UmbriaJazzOFC Italy Their connection campus runs deep including 2019 joint performance TBDBITL httpstco1CKN3Y3uyE,English,Positive,-,-,-
239,239,2022-07-13 08:10:20+00:00,DarioCongedo,"Pronti per Umbria Jazz 2022!
#umbriajazz
#umbriajazz2022
#thefutureisatree
#thefuture
#tukmusic
#livemusic
#musicalive @ Perugia, Italy https://t.co/hM0MLuULFZ",Pronti per Umbria Jazz 2022 umbriajazz umbriajazz2022 thefutureisatree thefuture tukmusic livemusic musicalive  Perugia Italy httpstcohM0MLuULFZ,English,Neutral,-,-,-
240,240,2022-07-13 08:00:00+00:00,UmbriaJazz_OFC,"Day 6 🎡 #umbriajazz22

🚩 https://t.co/Rq4rKQWiJ9 https://t.co/ZyoSTvWhJT","Day 6  umbriajazz22

 httpstcoRq4rKQWiJ9 httpstcoZyoSTvWhJT",English,Neutral,-,-,-
242,242,2022-07-13 07:40:00+00:00,JossStonePL,"NEW VIDEO: @JossStone performing ""Right To Be Wrong"" in Perugia, Italy @UmbriaJazz_OFC
 #JossStone #Italy #Perugia #UmbriaJazz #NeverForgetMyLoveTour https://t.co/b6jDU82O5O",NEW VIDEO JossStone performing Right To Be Wrong Perugia Italy UmbriaJazzOFC JossStone Italy Perugia UmbriaJazz NeverForgetMyLoveTour httpstcob6jDU82O5O,English,Negative,-,-,-
